userid,probability
55597,0.18305268090000673
55598,0.025999999999999999
55599,0.059999999999999998
55600,0.20616616898218185
55601,0.26920312653497419
55602,0.2172370829760327
55603,0.2924019208227176
55604,0.02
55605,0.25163637562967822
55606,0.058000000000000003
55607,0.042000000000000003
55608,0.034000000000000002
55609,0.26920312653497419
55610,0.14524165081827295
55611,0.044999999999999998
55612,0.073999999999999996
55613,0.2854844502245632
55614,0.17000000000000001
55615,0.21697278893501398
55616,0.02
55617,0.025999999999999999
55618,0.016
55619,0.071999999999999995
55620,0.066000000000000003
55621,0.025999999999999999
55622,0.13772331458022041
55623,0.19800000000000001
55624,0.017999999999999999
55625,0.024
55626,0.012
55627,0.39583619528619512
55628,0.24887961665976183
55629,0.062
55630,0.26920312653497419
55631,0.035999999999999997
55632,0.034000000000000002
55633,0.048000000000000001
55634,0.32214925286233231
55635,0.01
55636,0.63781407543050261
55637,0.016
55638,0.29436742905752616
55639,0.075999999999999998
55640,0.025999999999999999
55641,0.27975971326072407
55642,0.035999999999999997
55643,0.021999999999999999
55644,0.28177220931170011
55645,0.045999999999999999
55646,0.017999999999999999
55647,0.25168542568542596
55648,0.0040000000000000001
55649,0.2854844502245632
55650,0.2840209831993043
55651,0.068000000000000005
55652,0.23759273916102164
55653,0.082000000000000003
55654,0.26952179432113532
55655,0.2428529916688133
55656,0.2840209831993043
55657,0.26920312653497419
55658,0.051999999999999998
55659,0.24887961665976183
55660,0.2840209831993043
55661,0.13471088657900304
55662,0.26092229064525191
55663,0.2604754618737109
55664,0.068000000000000005
55665,0.0040000000000000001
55666,0.056000000000000001
55667,0.19
55668,0.02
55669,0.53346368047570936
55670,0.27795530625704112
55671,0.12186343974223258
55672,0.014
55673,0.186
55674,0.25572900128517179
55675,0.28177220931170011
55676,0.24887961665976183
55677,0.2840209831993043
55678,0.025999999999999999
55679,0.18377202734202222
55680,0.0040000000000000001
55681,0.01
55682,0.2840209831993043
55683,0.073999999999999996
55684,0.056000000000000001
55685,0.3898838732500306
55686,0.25642719099704836
55687,0.2854844502245632
55688,0.29897018005991471
55689,0.021999999999999999
55690,0.051999999999999998
55691,0.0040000000000000001
55692,0.17799999999999999
55693,0.21941019112678264
55694,0.017999999999999999
55695,0.25572900128517179
55696,0.043999999999999997
55697,0.13518041567787958
55698,0.043999999999999997
55699,0.062
55700,0.25986895340204075
55701,0.21480929801065993
55702,0.012
55703,0.28595812080387428
55704,0.035999999999999997
55705,0.016
55706,0.29897018005991471
55707,0.2607354157336268
55708,0.043999999999999997
55709,0.2155280610337163
55710,0.10000000000000001
55711,0.2840209831993043
55712,0.032000000000000001
55713,0.21697278893501398
55714,0.035999999999999997
55715,0.0040000000000000001
55716,0.071999999999999995
55717,0.017999999999999999
55718,0.024
55719,0.3307821983437349
55720,0.068000000000000005
55721,0.014
55722,0.082000000000000003
55723,0.25328855763108116
55724,0.23768495294479416
55725,0.056000000000000001
55726,0.043999999999999997
55727,0.2854844502245632
55728,0.085999999999999993
55729,0.070000000000000007
55730,0.034000000000000002
55731,0.032000000000000001
